blk_-1496188448727149150,5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21
blk_-905833411712258488,22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21
blk_-5464286609657202160,22 5 5 5 26 26 26 11 9 11 9 11 9 3 3 4 3 3 4 3 3 4 23 23 23 21 21 21
blk_-8282463748793545208,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-3921136668123589023,5 5 5 22 9 26 11 11 9 11 9 26 26 23 23 23 21 21 21
blk_-2239931325561621168,5 5 5 22 11 9 11 9 11 9 26 26 26
blk_8685903382712831962,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-3886999032946213849,5 5 5 22 11 9 11 9 11 9 26 26 26 4 3 23 23 23 21 21 21
blk_-4592814270414006252,5 5 22 5 11 9 11 9 26 26 26 11 9 4 3 4 23 23 23 21 21 21
blk_2841957877189780543,5 5 22 5 11 9 11 9 11 9 26 26 26 2 23 23 23 21 21 21
blk_-4200091329364243015,22 5 5 5 26 26 11 9 26 11 9 11 9 23 23 23 21 21 21
blk_3666299102465577874,22 5 5 5 26 26 26 11 9 11 9 11 9 2 2 23 23 23 21 21 21
blk_7006988817066821706,5 5 22 5 11 9 11 9 11 9 26 26 26 2 2 2 4 4 3 23 23 23 21 21 21
blk_7745392566843793053,22 5 5 5 26 26 11 9 11 9 11 9 26 4 4 3 2 2 2 23 23 23 21 21 21
blk_410862996131062268,5 5 5 22 11 9 11 9 11 9 26 26 26 2 4 3 2 23 23 23 21 21 21
blk_4801779738717983367,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_8417953588759050584,22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_5769137107626584343,5 5 5 22 11 9 11 9 11 9 26 26 26 3 3 4 3 3 4 23 23 23 21 21 21
blk_-383991757931358781,22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21
blk_-7001959716587646866,22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 3 4 3 4 3 3 4 3 3 23 23 23 21 21 21
blk_1291579595630525919,5 5 22 5 11 9 11 9 11 9 26 26 26 2 23 23 23 21 21 21
blk_-2836302626318159629,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-5102711110752475445,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_4420901456367964954,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-2299032187105886552,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-1610714589423290839,5 22 5 5 11 9 11 9 11 9 26 26 26 3 3 4 2 3 3 4 23 23 23 21 21 21
blk_-7003873416857684152,5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21
blk_-3538551433954171813,22 5 5 5 26 26 11 9 11 9 11 9 26 4 4 3 2 2 23 23 23 21 21 21
blk_-5948191113476625435,5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_307426021865766904,22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 3 4 3 3 4 3 23 23 23 21 21 21
blk_176725976506761330,5 22 5 5 26 11 9 11 9 26 26 11 9 4 4 3 23 23 23 21 21 21
blk_476590529272660126,22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 3 4 3 23 23 23 21 21 21
blk_-8346255366470890281,5 5 5 22 11 9 26 11 9 11 9 26 26
blk_-8683893912226352815,5 5 5 22 11 9 11 9 11 9 26 26 26 3 3 3 3 23 23 23 21 21 21
blk_-9062178654663359349,5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_7548940655598138417,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-8412346356893264115,5 5 22 5 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21
blk_1896480283862859094,5 5 5 22 11 9 11 9 11 9 26 26 26
blk_5996866066227529301,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_8948574887362569791,22 5 5 5 26 11 9 26 26 11 9 11 9 3 3 3 3 3 3 23 23 23 21 21 21
blk_455662641071054715,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-1226458707071139491,5 5 5 22 11 9 11 9 11 9 26 26 26
blk_-6035488532172541512,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_6787324259976860827,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_6336844208482167414,5 5 5 22 11 9 11 9 11 9 26 26 26 4 3 4 23 23 23 21 21 21
blk_-6549150582587341396,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-866365949177225371,5 5 22 5 11 9 11 9 11 9 26 26 26
blk_4105142386824795299,22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 3 3 4 3 3 4 23 23 23 21 21 21
blk_-3321616828905012501,5 22 5 5 11 9 26 26 26 11 9 11 9 4 3 4 23 23 23 21 21 21
blk_-6804718242199469690,22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 3 4 3 3 3 4 3 3 4 23 23 23 21 21 21
blk_3335237183693551348,5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_7630905829172527131,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-1997089054226592829,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_8065488692114099479,22 5 5 5 26 26 26 11 9 11 9 11 9 2 4 3 4 23 23 23 21 21 21
blk_-7584144009490110982,22 5 5 5 26 26 11 9 11 9 26 11 9 4 4 3 2 2 2 23 23 23 21 21 21
blk_-3637307580206535675,5 5 5 22 11 9 11 9 26 26 11 9 26 4 4 3 2 23 23 23 21 21 21
blk_4083035449258623719,5 22 5 5 11 9 26 11 9 11 9 26 26 4 4 3 2 23 23 23 21 21 21
blk_8951449159003676862,5 22 5 5 11 9 11 9 11 9 26 26 26
blk_8350449552276651247,22 5 5 5 26 11 9 11 9 11 9 26 26 3 4 3 3 3 4 3 3 4 23 23 23 21 21 21
blk_9066735572676227452,5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21
blk_2127419068435069256,5 22 5 5 11 9 11 9 11 9 26 26 26
blk_-8077654395804506088,5 5 22 5 11 9 11 9 11 9 26 26 26
blk_-7461262685727328582,5 22 5 5 11 9 11 9 11 9 26 26 26
blk_355518484672059221,5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-8811206996367661982,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_-4995673061868019535,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_4836788617285065909,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
blk_955538756832738852,5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21
